title,overview,rating,genre,year,language
Avatar,A marine explores an alien planet,8.5,Action,2009,English
Titanic,A love story on a sinking ship,9.0,Romance,1997,English
Inception,A thief enters dreams to steal secrets,9.2,Sci-Fi,2010,English
Interstellar,Space travel through wormholes,9.3,Sci-Fi,2014,English
Batman,A dark knight fights crime in Gotham,8.7,Action,2008,English
Superman,A superhero saves the world,7.5,Action,2013,English
The Dark Knight,A vigilante fights crime in Gotham,9.0,Action,2008,English
Avengers,A team of heroes saves the world,8.8,Action,2012,English
Iron Man,A genius builds a powerful suit,8.5,Action,2008,English
Doctor Strange,A surgeon learns magic,8.2,Fantasy,2016,English
3 Idiots,Engineering students face life challenges,9.1,Comedy,2009,Hindi
Dangal,A wrestler trains his daughters,8.8,Drama,2016,Hindi
PK,An alien questions human beliefs,8.6,Comedy,2014,Hindi
Sholay,A story of friendship and revenge,9.2,Action,1975,Hindi
Bahubali,A warrior fights for his kingdom,8.4,Action,2015,Hindi
Krrish,A superhero protects the world,7.1,Action,2006,Hindi
Kabir Singh,A surgeon struggles with anger,7.8,Drama,2019,Hindi
Chennai Express,A man travels across India for love,7.5,Comedy,2013,Hindi
Zindagi Na Milegi Dobara,Friends go on a life trip,8.9,Drama,2011,Hindi
Dilwale Dulhania Le Jayenge,A romantic love story,9.0,Romance,1995,Hindi
Extraction,A black ops team rescues hostages,7.6,Action,2020,English
Uri,A soldier leads a surgical strike,8.2,Action,2019,Hindi
Tumbbad,A man discovers hidden treasure,8.3,Horror,2018,Hindi
Raazi,A spy marries into enemy family,8.1,Thriller,2018,Hindi
Stree,A ghost haunts a village,7.9,Horror,2018,Hindi
Brahmastra,A man discovers magical powers,7.2,Fantasy,2022,Hindi
Don,A criminal mastermind escapes law,7.8,Action,2006,Hindi
Don 2,A don expands his empire,7.6,Action,2011,Hindi
Race,A thriller full of twists,7.3,Thriller,2008,Hindi
Race 2,A sequel with more betrayal,7.1,Thriller,2013,Hindi
Skyfall,James Bond saves MI6,8.0,Action,2012,English
Casino Royale,Bond earns his license to kill,8.0,Action,2006,English
No Time To Die,Bond faces his past,7.5,Action,2021,English
The Batman,A dark detective story,8.1,Action,2022,English
Justice League,Heroes unite to save Earth,7.0,Action,2017,English
Aquaman,A hero rules the ocean,7.3,Action,2018,English
Wonder Woman,A warrior princess fights war,7.8,Action,2017,English
Shazam,A boy becomes superhero,7.0,Comedy,2019,English
Dead Silence,A haunted doll story,6.9,Horror,2007,English
Conjuring,A family faces paranormal events,8.0,Horror,2013,English
Annabelle,A cursed doll spreads terror,7.0,Horror,2014,English
It,A clown haunts children,7.8,Horror,2017,English
It Chapter 2,The story continues,6.9,Horror,2019,English
Ready Player One,A virtual reality adventure,7.5,Sci-Fi,2018,English
Tron,A man enters digital world,7.0,Sci-Fi,2010,English
Blade Runner,A futuristic detective story,8.1,Sci-Fi,1982,English
Blade Runner 2049,A sequel in dystopian future,8.0,Sci-Fi,2017,English
Arrival,A linguist communicates with aliens,7.9,Sci-Fi,2016,English
Edge of Tomorrow,A soldier relives battle,7.9,Sci-Fi,2014,English
Lucy,A woman unlocks brain potential,7.4,Sci-Fi,2014,English
Drishyam 2,A sequel of crime thriller,8.2,Thriller,2022,Hindi
Bhool Bhulaiyaa,A haunted palace mystery,7.4,Comedy,2007,Hindi
Bhool Bhulaiyaa 2,A ghost returns for revenge,7.0,Comedy,2022,Hindi
Rockstar,A musician struggles with love,8.1,Drama,2011,Hindi
Tamasha,A man finds his true self,7.8,Drama,2015,Hindi
Yeh Jawaani Hai Deewani,Friends explore life and love,8.0,Romance,2013,Hindi
Kal Ho Na Ho,A love story with sacrifice,8.4,Romance,2003,Hindi
My Name is Khan,A man fights discrimination,8.0,Drama,2010,Hindi
Devdas,A tragic love story,8.2,Romance,2002,Hindi
Ghajini,A man seeks revenge with memory loss,7.9,Action,2008,Hindi
Holiday,A soldier stops terrorism,7.6,Action,2014,Hindi
Special 26,A gang executes fake raids,8.0,Thriller,2013,Hindi
