review,sentiment
Amazing movie,positive
Loved it,positive
Fantastic experience,positive
Great story,positive
Outstanding performance,positive
Mind blowing,positive
Superb acting,positive
Brilliant film,positive
Excellent direction,positive
Very emotional,positive
Very bad film,negative
Worst movie,negative
Waste of time,negative
Terrible plot,negative
Very boring,negative
Poor acting,negative
Bad direction,negative
Not interesting,negative
Disappointing movie,negative
Too slow,negative
Amazing storyline,positive
Loved the visuals,positive
Best movie ever,positive
Highly recommended,positive
Must watch,positive
Great cinematography,positive
Super entertaining,positive
Awesome film,positive
Wonderful experience,positive
Fantastic acting,positive
Not worth watching,negative
Very dull,negative
Poor storyline,negative
Bad acting,negative
Worst experience,negative
Very slow movie,negative
Too predictable,negative
Uninteresting plot,negative
Boring scenes,negative
Not engaging,negative
Excellent movie,positive
Great direction,positive
Loved characters,positive
Fantastic music,positive
Very inspiring,positive
Highly engaging,positive
Amazing visuals,positive
Beautiful story,positive
Loved every moment,positive
Perfect film,positive
Terrible acting,negative
Bad screenplay,negative
Worst direction,negative
Not enjoyable,negative
Very disappointing,negative
Waste of money,negative
Too long,negative
Weak story,negative
Poor execution,negative
Not impressive,negative
